"name","type","x","y","width","height","anchor","text","tooltip","type_name","anchor_name","corner","corner_name","angle","scope","serial","subwindow"
"QM_CHART_V2_QM_QA_bid_accent","110","648","147","2","22","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","overlay","614","0"
"QM_CHART_V2_QM_QA_bid_card","110","648","147","148","22","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","overlay","614","0"
"QM_CHART_V2_QM_QA_bid_join","110","642","158","6","1","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","overlay","614","0"
"QM_CHART_V2_QM_QA_bid_leader_h","110","636","127","6","1","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","overlay","614","0"
"QM_CHART_V2_QM_QA_bid_leader_v","110","642","127","1","32","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","overlay","614","0"
"QM_CHART_V2_QM_QA_bid_line","1","","","","","","","Last observed bid 1.16260 | 2026.09.08 02:02:43 BT","OBJ_HLINE","N/A","","N/A","0","time_price","614","0"
"QM_CHART_V2_QM_QA_bid_text","102","656","150","64","15","0","BID 1.16260","BID 1.16260","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","614","0"
"QM_CHART_V2_QM_QA_context","102","416","46","198","13","0","PRICE CHART  /  STRATEGY TIMEFRAME","PRICE CHART  /  STRATEGY TIMEFRAME","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","614","0"
"QM_CHART_V2_QM_QA_identity","102","416","26","84","17","0","EURUSD  /  D1","EURUSD  /  D1","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","614","0"
"QM_CHART_V2_QM_QA_level_notice","102","648","319","100","13","0","1 level outside view","1 level outside view. Outside available price-label area (including reserved header/axis margins): TP 1,17150. Prices are not pinned to the chart edge.","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","614","0"
