"name","type","x","y","width","height","anchor","text","tooltip","type_name","anchor_name","corner","corner_name","angle","scope","serial","subwindow"
"QM_QA_bg","110","8","8","416","331","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","613","0"
"QM_QA_design_version","103","304","15","28","24","0","01","Switch to Design 2 - presentation only","OBJ_BUTTON","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","613","0"
"QM_QA_footer","102","24","315","144","13","0","© QuantMechanica  v5.0 QA","© QuantMechanica  v5.0 QA","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","613","0"
"QM_QA_footer_rule","110","20","306","392","1","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","613","0"
"QM_QA_module","102","24","42","103","13","0","STRATEGY CONSOLE","STRATEGY CONSOLE","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","613","0"
"QM_QA_next","103","384","311","28","22","0",">","Next complete page","OBJ_BUTTON","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","613","0"
"QM_QA_page_number","102","379","315","23","15","6","1 / 4","1 / 4","OBJ_LABEL","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","panel","613","0"
"QM_QA_previous","103","298","311","28","22","0","<","Previous complete page","OBJ_BUTTON","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","panel","613","0"
"QM_QA_range","20","","","","","","","Active strategy range","OBJ_RECTANGLE","N/A","","N/A","0","time_price","613","0"
"QM_QA_range_high_label","102","800","122","103","13","6","Range High 1,16450","Range High 1,16450","OBJ_LABEL","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","613","0"
