"name","type","x","y","width","height","anchor","text","tooltip","type_name","anchor_name","corner","corner_name","angle","scope","serial","subwindow"
"QM_CHART_V2_QM_QA_bid_accent","110","963","187","2","22","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","overlay","803","0"
"QM_CHART_V2_QM_QA_bid_card","110","963","187","148","22","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","overlay","803","0"
"QM_CHART_V2_QM_QA_bid_join","110","957","198","6","1","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","overlay","803","0"
"QM_CHART_V2_QM_QA_bid_leader_h","110","951","164","6","1","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","overlay","803","0"
"QM_CHART_V2_QM_QA_bid_leader_v","110","957","164","1","35","0","","
","OBJ_RECTANGLE_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0","overlay","803","0"
"QM_CHART_V2_QM_QA_bid_line","1","","","","","","","Last observed bid 1.16287 | 2026.09.08 02:20:29 BT","OBJ_HLINE","N/A","","N/A","0","time_price","803","0"
"QM_CHART_V2_QM_QA_bid_text","102","971","190","63","15","0","BID 1.16287","BID 1.16287","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","803","0"
"QM_CHART_V2_QM_QA_context","102","416","46","198","13","0","PRICE CHART  /  STRATEGY TIMEFRAME","PRICE CHART  /  STRATEGY TIMEFRAME","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","803","0"
"QM_CHART_V2_QM_QA_identity","102","416","26","84","17","0","EURUSD  /  D1","EURUSD  /  D1","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","803","0"
"QM_CHART_V2_QM_QA_observation","102","897","28","183","13","0","Bid observed 2026.09.08 02:20:29 BT","Bid observed 2026.09.08 02:20:29 BT","OBJ_LABEL","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","overlay","803","0"
"QM_CHART_V2_QM_QA_range_fill","20","","","","","","","Observed strategy range","OBJ_RECTANGLE","N/A","","N/A","0","time_price","803","0"
