change_id,parent_content_sha256,source_row_number,source_row_identity_sha256,currency,impact,event_name,old_datetime_utc,new_datetime_utc,old_hour,new_hour,delta_minutes,changed_fields,basis
3aec5279da392be88e89680150bb4f036b6451896b2914ade71104a9053c99ff,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,28517,ef74ce973ec07d27ced4c23ed07dafb97faadc2846646e9cf0cd3a4d506a9625,USD,HIGH,CPI y/y,2021-03-10T12:30:00Z,2021-03-10T13:30:00Z,12,13,60,datetime;hour,official fixed ET release clock converted with America/New_York
b918b54b6744bc03bef984985829d7601089afa02fd0618cc24b30a605b804f5,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,33260,721370200afe4e09d8a776c56a8f3f0053677aa0ade7949e181b8cf5e460913d,USD,HIGH,CPI y/y,2022-03-10T12:30:00Z,2022-03-10T13:30:00Z,12,13,60,datetime;hour,official fixed ET release clock converted with America/New_York
f6c75eca1f544d4ce06139c66ace4833d887edfb1cfcad8f57f1779f7a07c4b2,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38128,e2594185d57cc1fa81881a520a132b2e1def5a780cd6d719b9c9a77765b463ad,USD,HIGH,Unemployment Claims,2023-03-23T11:30:00Z,2023-03-23T12:30:00Z,11,12,60,datetime;hour,official fixed ET release clock converted with America/New_York
ab3c1ae07ac7fb37670ce47891ed137a44ca48ba287f4c330eeaaf2fecc6a19c,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38179,a1230a3fc7fef67d6ca75e9eb1bf50b26db590d4c2b77547e8bc6f306f78eaea,USD,HIGH,Goods Trade Balance,2023-03-28T11:30:00Z,2023-03-28T12:30:00Z,11,12,60,datetime;hour,official fixed ET release clock converted with America/New_York
88236c20b226e65cb0c1d94be840f815945597d322c412f9189052c0e35cb6a8,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38208,16b15d6d443cb1dcb89028a7559cdf8225469e16e973345d23034d23100f4e1a,USD,HIGH,Final GDP q/q,2023-03-30T11:30:00Z,2023-03-30T12:30:00Z,11,12,60,datetime;hour,official fixed ET release clock converted with America/New_York
5ba0f82262aaf804ea95157e287c1260c80f09664f929c05fa0f7206e26c6e6a,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38288,0ae6324e7964ddd1783d64efb5f6961c6a3aa8f038c2158ed4d0c47963429f66,USD,HIGH,JOLTS Job Openings,2023-04-04T13:00:00Z,2023-04-04T14:00:00Z,13,14,60,datetime;hour,official fixed ET release clock converted with America/New_York
a52d6468b31c3895d1c433b97fc79eb86d111d11bdb0e862780cc49188fa83d0,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38337,d47f2be02a8099012b95c7c638860593ebbac44170587381e5b7be18b39c8c36,USD,HIGH,Average Hourly Earnings m/m,2023-04-07T11:30:00Z,2023-04-07T12:30:00Z,11,12,60,datetime;hour,official fixed ET release clock converted with America/New_York
119250949ba3c6be51c1bd255c3bdca7de975b25ba2b157395d1914d9c7c7d05,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38383,5efdd2b71877f8df75e344dc6fce0768416e40866a81b5484245336b14684cc7,USD,HIGH,Core CPI m/m,2023-04-12T11:30:00Z,2023-04-12T12:30:00Z,11,12,60,datetime;hour,official fixed ET release clock converted with America/New_York
b7908e9244796f1b7bc402fc7f44a9b9a547d3f44400e2698b86d2a652b3fc47,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38417,87811d3437c9493b921f635771cd1ac9137caefc12717ae6e62385b7914a7ef3,USD,HIGH,Core PPI m/m,2023-04-13T11:30:00Z,2023-04-13T12:30:00Z,11,12,60,datetime;hour,official fixed ET release clock converted with America/New_York
de8f02380f9a9f4a90579f485614f1bf1c633b1c74e788660952f4e14fff9f76,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,38439,9d3f5f9e7497c7f4061c85c5da6aecce9ee7c45cca15882d2407bb16425d8451,USD,HIGH,Prelim UoM Consumer Sentiment,2023-04-14T13:00:00Z,2023-04-14T14:00:00Z,13,14,60,datetime;hour,official fixed ET release clock converted with America/New_York
