ea_id,ea_slug,symbol_slot,symbol,magic,reserved_at,reserved_by,status
1490,raschke-anti-pullback-reversal-h4,0,EURUSD.DWX,14900000,2026-06-28,Development,active
1490,raschke-anti-pullback-reversal-h4,1,GBPUSD.DWX,14900001,2026-06-28,Development,active
1490,raschke-anti-pullback-reversal-h4,2,USDJPY.DWX,14900002,2026-06-28,Development,active
1490,raschke-anti-pullback-reversal-h4,3,AUDUSD.DWX,14900003,2026-06-28,Development,active
1490,raschke-anti-pullback-reversal-h4,4,USDCAD.DWX,14900004,2026-06-28,Development,active
1490,raschke-anti-pullback-reversal-h4,5,NDX.DWX,14900005,2026-06-28,Development,active
1490,raschke-anti-pullback-reversal-h4,6,WS30.DWX,14900006,2026-06-28,Development,active
1490,raschke-anti-pullback-reversal-h4,7,GDAXI.DWX,14900007,2026-06-28,Development,active
1490,raschke-anti-pullback-reversal-h4,8,UK100.DWX,14900008,2026-06-28,Development,active
1490,raschke-anti-pullback-reversal-h4,9,XAUUSD.DWX,14900009,2026-06-28,Development,active
1490,raschke-anti-pullback-reversal-h4,10,XTIUSD.DWX,14900010,2026-06-28,Development,active
12971,spx-pre-fomc-drift,0,SP500.DWX,129710000,2026-07-03,Development,active
1494,dorsey-mass-index-reversal-bulge-h4,0,EURUSD.DWX,14940000,2026-07-01,Development,active
1494,dorsey-mass-index-reversal-bulge-h4,1,GBPUSD.DWX,14940001,2026-07-01,Development,active
1494,dorsey-mass-index-reversal-bulge-h4,2,USDJPY.DWX,14940002,2026-07-01,Development,active
1494,dorsey-mass-index-reversal-bulge-h4,3,AUDUSD.DWX,14940003,2026-07-01,Development,active
1494,dorsey-mass-index-reversal-bulge-h4,4,USDCAD.DWX,14940004,2026-07-01,Development,active
1494,dorsey-mass-index-reversal-bulge-h4,5,NDX.DWX,14940005,2026-07-01,Development,active
1494,dorsey-mass-index-reversal-bulge-h4,6,WS30.DWX,14940006,2026-07-01,Development,active
1494,dorsey-mass-index-reversal-bulge-h4,7,GDAXI.DWX,14940007,2026-07-01,Development,active
1494,dorsey-mass-index-reversal-bulge-h4,8,UK100.DWX,14940008,2026-07-01,Development,active
1494,dorsey-mass-index-reversal-bulge-h4,9,XAUUSD.DWX,14940009,2026-07-01,Development,active
1494,dorsey-mass-index-reversal-bulge-h4,10,XTIUSD.DWX,14940010,2026-07-01,Development,active
1641,aa-qend-mom-season,0,NDX.DWX,16410000,2026-06-18,Development,active
1641,aa-qend-mom-season,1,WS30.DWX,16410001,2026-06-18,Development,active
1641,aa-qend-mom-season,2,SP500.DWX,16410002,2026-06-18,Development,active
1641,aa-qend-mom-season,3,GDAXI.DWX,16410003,2026-06-18,Development,active
9235,mql5-am-price-cross,0,EURUSD.DWX,92350000,2026-06-23,Development,active
9235,mql5-am-price-cross,1,GBPJPY.DWX,92350001,2026-06-23,Development,active
9235,mql5-am-price-cross,2,XAUUSD.DWX,92350002,2026-06-23,Development,active
1641,aa-qend-mom-season,4,UK100.DWX,16410004,2026-06-18,Development,active
1644,aa-sector-xmom-third,0,SP500.DWX,16440000,2026-06-18,Development,active
1644,aa-sector-xmom-third,1,NDX.DWX,16440001,2026-06-18,Development,active
1644,aa-sector-xmom-third,2,WS30.DWX,16440002,2026-06-18,Development,active
1644,aa-sector-xmom-third,3,GDAXI.DWX,16440003,2026-06-18,Development,active
1644,aa-sector-xmom-third,4,UK100.DWX,16440004,2026-06-18,Development,active
12395,country-pairs,0,SP500.DWX,123950000,2026-06-18,Development,active
12395,country-pairs,1,NDX.DWX,123950001,2026-06-18,Development,active
12395,country-pairs,2,WS30.DWX,123950002,2026-06-18,Development,active
12395,country-pairs,3,GDAXI.DWX,123950003,2026-06-18,Development,active
12395,country-pairs,4,UK100.DWX,123950004,2026-06-18,Development,active
10881,nt-aw-mom,0,SP500.DWX,108810000,2026-06-14,Development,active
10881,nt-aw-mom,1,NDX.DWX,108810001,2026-06-14,Development,active
10881,nt-aw-mom,2,WS30.DWX,108810002,2026-06-14,Development,active
10882,nt-bear-rsi,0,SP500.DWX,108820000,2026-06-14,Development,active
10882,nt-bear-rsi,1,NDX.DWX,108820001,2026-06-14,Development,active
10882,nt-bear-rsi,2,WS30.DWX,108820002,2026-06-14,Development,active
11047,roman-sar-break,0,EURUSD.DWX,110470000,2026-06-07,Development,active
11047,roman-sar-break,1,GBPUSD.DWX,110470001,2026-06-07,Development,active
11047,roman-sar-break,2,USDCHF.DWX,110470002,2026-06-07,Development,active
11047,roman-sar-break,3,USDJPY.DWX,110470003,2026-06-07,Development,active
10296,cinar-cmf,0,AUDCAD.DWX,102960000,2026-06-12,Development,active
10296,cinar-cmf,1,AUDCHF.DWX,102960001,2026-06-12,Development,active
10296,cinar-cmf,2,AUDJPY.DWX,102960002,2026-06-12,Development,active
10296,cinar-cmf,3,AUDNZD.DWX,102960003,2026-06-12,Development,active
10296,cinar-cmf,4,AUDUSD.DWX,102960004,2026-06-12,Development,active
10296,cinar-cmf,5,CADCHF.DWX,102960005,2026-06-12,Development,active
10296,cinar-cmf,6,CADJPY.DWX,102960006,2026-06-12,Development,active
10296,cinar-cmf,7,CHFJPY.DWX,102960007,2026-06-12,Development,active
10296,cinar-cmf,8,EURAUD.DWX,102960008,2026-06-12,Development,active
10296,cinar-cmf,9,EURCAD.DWX,102960009,2026-06-12,Development,active
10296,cinar-cmf,10,EURCHF.DWX,102960010,2026-06-12,Development,active
10296,cinar-cmf,11,EURGBP.DWX,102960011,2026-06-12,Development,active
10296,cinar-cmf,12,EURJPY.DWX,102960012,2026-06-12,Development,active
10296,cinar-cmf,13,EURNZD.DWX,102960013,2026-06-12,Development,active
10296,cinar-cmf,14,EURUSD.DWX,102960014,2026-06-12,Development,active
10296,cinar-cmf,15,GBPAUD.DWX,102960015,2026-06-12,Development,active
10296,cinar-cmf,16,GBPCAD.DWX,102960016,2026-06-12,Development,active
10296,cinar-cmf,17,GBPCHF.DWX,102960017,2026-06-12,Development,active
10296,cinar-cmf,18,GBPJPY.DWX,102960018,2026-06-12,Development,active
10296,cinar-cmf,19,GBPNZD.DWX,102960019,2026-06-12,Development,active
10296,cinar-cmf,20,GBPUSD.DWX,102960020,2026-06-12,Development,active
10296,cinar-cmf,21,GDAXI.DWX,102960021,2026-06-12,Development,active
10296,cinar-cmf,22,NDX.DWX,102960022,2026-06-12,Development,active
10296,cinar-cmf,23,NZDCAD.DWX,102960023,2026-06-12,Development,active
